"","Seq","Lat","Lon","prop","status"
"332",126913,1.75,-83.75,1,"open"
"333",126914,1.75,-83.25,1,"open"
"334",126915,1.75,-82.75,1,"open"
"335",126916,1.75,-82.25,1,"open"
"336",127617,1.25,-91.75,1,"open"
"337",127618,1.25,-91.25,1,"open"
"338",127619,1.25,-90.75,1,"open"
"339",127620,1.25,-90.25,1,"open"
"340",127621,1.25,-89.75,1,"open"
"341",127622,1.25,-89.25,1,"open"
"342",127623,1.25,-88.75,1,"open"
"343",127624,1.25,-88.25,1,"open"
"344",127625,1.25,-87.75,1,"open"
"345",127626,1.25,-87.25,1,"open"
"346",127627,1.25,-86.75,1,"open"
"347",127628,1.25,-86.25,1,"open"
"348",127629,1.25,-85.75,1,"open"
"349",127630,1.25,-85.25,1,"open"
"350",127631,1.25,-84.75,1,"open"
"351",127632,1.25,-84.25,1,"open"
"352",127633,1.25,-83.75,1,"open"
"353",127634,1.25,-83.25,1,"open"
"354",127635,1.25,-82.75,1,"open"
"355",127636,1.25,-82.25,1,"open"
"356",128337,0.75,-91.75,1,"open"
"357",128338,0.75,-91.25,1,"open"
"358",128339,0.75,-90.75,1,"open"
"359",128340,0.75,-90.25,1,"open"
"360",128341,0.75,-89.75,1,"open"
"361",128342,0.75,-89.25,1,"open"
"362",128343,0.75,-88.75,1,"open"
"363",128344,0.75,-88.25,1,"open"
"364",128345,0.75,-87.75,1,"open"
"365",128346,0.75,-87.25,1,"open"
"366",128347,0.75,-86.75,1,"open"
"367",128348,0.75,-86.25,1,"open"
"368",128349,0.75,-85.75,1,"open"
"369",128350,0.75,-85.25,1,"open"
"370",128351,0.75,-84.75,1,"open"
"371",128352,0.75,-84.25,1,"open"
"372",128353,0.75,-83.75,1,"open"
"373",128354,0.75,-83.25,1,"open"
"374",128355,0.75,-82.75,1,"open"
"375",128356,0.75,-82.25,1,"open"
"376",129057,0.25,-91.75,1,"open"
"377",129058,0.25,-91.25,1,"open"
"378",129059,0.25,-90.75,1,"open"
"379",129060,0.25,-90.25,1,"open"
"380",129061,0.25,-89.75,1,"open"
"381",129062,0.25,-89.25,1,"open"
"382",129063,0.25,-88.75,1,"open"
"383",129064,0.25,-88.25,1,"open"
"384",129065,0.25,-87.75,1,"open"
"385",129066,0.25,-87.25,1,"open"
"386",129067,0.25,-86.75,1,"open"
"387",129068,0.25,-86.25,1,"open"
"388",129069,0.25,-85.75,1,"open"
"389",129070,0.25,-85.25,1,"open"
"390",129071,0.25,-84.75,1,"open"
"391",129072,0.25,-84.25,1,"open"
"392",129073,0.25,-83.75,1,"open"
"393",129074,0.25,-83.25,1,"open"
"394",129075,0.25,-82.75,1,"open"
"395",129076,0.25,-82.25,1,"open"
